failure_modes,pair_id,parse_error,system
Invalid JSON,validation_10149490_job_000176_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_10149490_job_000253_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_10149490_job_000772_weak_random,,zero_shot_qwen
Invalid JSON,validation_95085510_job_000274_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_95085510_job_000765_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_95085510_job_000406_weak_random,,zero_shot_qwen
Invalid JSON,validation_26585242_job_000094_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_26585242_job_000697_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_26585242_job_000624_weak_random,,zero_shot_qwen
Invalid JSON,validation_13520837_job_000643_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_13520837_job_000773_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_13520837_job_000157_weak_random,,zero_shot_qwen
Invalid JSON,validation_15973307_job_000599_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_15973307_job_000687_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_15973307_job_000217_weak_random,,zero_shot_qwen
Invalid JSON,validation_19818707_job_000513_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_19818707_job_000235_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_19818707_job_000836_weak_random,,zero_shot_qwen
Invalid JSON,validation_22455205_job_000547_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_22455205_job_000512_weak_random,,zero_shot_qwen
Invalid JSON,validation_19402977_job_000828_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_19402977_job_000253_medium_tfidf,,zero_shot_qwen
Invalid JSON,validation_19402977_job_000439_weak_random,,zero_shot_qwen
Invalid JSON,validation_27536013_job_000747_strong_hybrid,,zero_shot_qwen
Invalid JSON,validation_27536013_job_000066_weak_random,,zero_shot_qwen
Fabricated resume content risk,validation_10149490_job_000176_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_10149490_job_000253_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_10149490_job_000772_weak_random,,finetuned_qwen
Fabricated resume content risk,validation_95085510_job_000274_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_95085510_job_000765_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_95085510_job_000406_weak_random,,finetuned_qwen
Overly generic explanation; Fabricated resume content risk,validation_26585242_job_000094_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_26585242_job_000697_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_26585242_job_000624_weak_random,,finetuned_qwen
Fabricated resume content risk,validation_13520837_job_000643_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_13520837_job_000773_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_13520837_job_000157_weak_random,,finetuned_qwen
Overly generic explanation; Fabricated resume content risk,validation_15973307_job_000599_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_15973307_job_000687_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_15973307_job_000217_weak_random,,finetuned_qwen
Fabricated resume content risk,validation_19818707_job_000513_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_19818707_job_000235_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_19818707_job_000836_weak_random,,finetuned_qwen
Fabricated resume content risk,validation_22455205_job_000547_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_22455205_job_000512_weak_random,,finetuned_qwen
Wrong or poorly calibrated score; Fabricated resume content risk,validation_19402977_job_000828_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_19402977_job_000253_medium_tfidf,,finetuned_qwen
Fabricated resume content risk,validation_19402977_job_000439_weak_random,,finetuned_qwen
Fabricated resume content risk,validation_27536013_job_000747_strong_hybrid,,finetuned_qwen
Fabricated resume content risk,validation_27536013_job_000066_weak_random,,finetuned_qwen
