absolute_error,pair_id,pred_score,strategy,system,teacher_score
989.2708,test_27058381_job_000755_strong_hybrid,1044.2708227093124,strong_hybrid,bm25,55.0
877.5379,test_72652441_job_000655_strong_hybrid,902.5378925386377,strong_hybrid,bm25,25.0
872.0226,test_20748929_job_000655_strong_hybrid,917.0226396414595,strong_hybrid,bm25,45.0
850.229,test_15620421_job_000655_strong_hybrid,875.2289713868504,strong_hybrid,bm25,25.0
837.1467,test_59696315_job_000811_strong_hybrid,877.146675001745,strong_hybrid,bm25,40.0
835.7105,test_12858898_job_000115_strong_hybrid,890.7105478717802,strong_hybrid,bm25,55.0
830.9302,test_35651876_job_000655_strong_hybrid,848.930245013506,strong_hybrid,bm25,18.0
828.1421,test_25543217_job_000115_strong_hybrid,853.1420864101532,strong_hybrid,bm25,25.0
805.5767,test_34131484_job_000655_strong_hybrid,830.5767400502126,strong_hybrid,bm25,25.0
802.4861,test_12230301_job_000031_strong_hybrid,857.4861340654726,strong_hybrid,bm25,55.0
76.0743,test_19867922_job_000301_weak_random,11.925704002380371,weak_random,sentence_transf,88.0
58.4655,test_36694627_job_000734_strong_hybrid,68.4654541015625,strong_hybrid,sentence_transf,10.0
53.753,test_77266989_job_000095_strong_hybrid,68.75303649902344,strong_hybrid,sentence_transf,15.0
52.8837,test_14593060_job_000100_strong_hybrid,62.88369369506836,strong_hybrid,sentence_transf,10.0
51.3803,test_20321582_job_000644_strong_hybrid,76.38031768798828,strong_hybrid,sentence_transf,25.0
50.3423,test_15535920_job_000433_medium_tfidf,62.34225082397461,medium_tfidf,sentence_transf,12.0
50.0454,test_15932017_job_000143_strong_hybrid,55.045413970947266,strong_hybrid,sentence_transf,5.0
49.8977,test_22349169_job_000644_strong_hybrid,74.89769744873047,strong_hybrid,sentence_transf,25.0
49.3021,test_21567392_job_000229_medium_tfidf,54.30213928222656,medium_tfidf,sentence_transf,5.0
48.9295,test_36694627_job_000550_medium_tfidf,58.92951583862305,medium_tfidf,sentence_transf,10.0
60.0,test_28762662_job_000748_strong_hybrid,75.0,strong_hybrid,zero_shot,15.0
60.0,test_30504149_job_000748_weak_random,65.0,weak_random,zero_shot,5.0
55.0,test_39166680_job_000693_weak_random,30.0,weak_random,zero_shot,85.0
55.0,test_39166680_job_000722_strong_hybrid,65.0,strong_hybrid,zero_shot,10.0
55.0,test_60004873_job_000105_weak_random,55.0,weak_random,zero_shot,0.0
50.0,test_10005171_job_000160_strong_hybrid,85.0,strong_hybrid,zero_shot,35.0
50.0,test_13072019_job_000160_medium_tfidf,65.0,medium_tfidf,zero_shot,15.0
50.0,test_13583538_job_000349_medium_tfidf,65.0,medium_tfidf,zero_shot,15.0
50.0,test_17576030_job_000349_medium_tfidf,65.0,medium_tfidf,zero_shot,15.0
50.0,test_19867922_job_000460_medium_tfidf,30.0,medium_tfidf,zero_shot,80.0
60.0,test_15011085_job_000651_strong_hybrid,85.0,strong_hybrid,finetuned_v2,25.0
60.0,test_39166680_job_000693_weak_random,25.0,weak_random,finetuned_v2,85.0
50.0,test_18975686_job_000226_medium_tfidf,85.0,medium_tfidf,finetuned_v2,35.0
40.0,test_10554045_job_000371_strong_hybrid,55.0,strong_hybrid,finetuned_v2,15.0
40.0,test_20423658_job_000693_weak_random,15.0,weak_random,finetuned_v2,55.0
40.0,test_28762662_job_000748_strong_hybrid,55.0,strong_hybrid,finetuned_v2,15.0
40.0,test_39718499_job_000167_medium_tfidf,15.0,medium_tfidf,finetuned_v2,55.0
35.0,test_13583538_job_000301_weak_random,55.0,weak_random,finetuned_v2,20.0
35.0,test_37087824_job_000617_medium_tfidf,15.0,medium_tfidf,finetuned_v2,50.0
35.0,test_40882926_job_000282_medium_tfidf,25.0,medium_tfidf,finetuned_v2,60.0
